InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
Q13158	Q14790	mint, intact, Dip, Biogrid, Hprd	1	1	43	11717445, 12887920, 8681376, 17159907, 14612908, 18485876, 19524512, 21988832, 21458669, 21525013, 21785459, 17047155, 20103630, 22173242, 22274400, 19176810, 25043603, 25911380, 19060883, 23955153, 15659383, 9228018, 12911633, 12107169, 21737329, 21620750, 22179575, 20448643, 12702723, 15280356, 23142077, 22864571, 23972990, 20829884, 21737330, 25939870, 26437781, 24098568, 26972597, 27552911, 27321185, 27560715, 17290218
P60953	P27986	mint, intact, Hprd	1	1	4	7629060, 8034624, 25284480, 9381982
P60953	Q13153	mint, intact, Dip, Biogrid, Hprd	1	1	22	7744004, 8107774, 12879077, 12606577, 19596003, 21029865, 21167153, 20936779, 23455922, 23175184, unassigned1271, 25150978, 12650940, 9535855, 10360579, 10684602, 10802735, 16678097, 24276241, 18057010, 15548653, 9705280
P46940	P60953	mint, intact, Dip, Biogrid, Hprd	1	1	12	8798539, 8670801, 8702968, 12745076, 26496610, 17563371, 12110184, 9182573, 9535855, 15655247, 12900413, 8756646
P60953	P42768	mint, intact, Dip, Biogrid, Hprd	1	1	16	8625410, 9660763, 15361624, 20936779, 10360578, 10713100, 10724160, 8643625, 10360579, 10684602, 15075243, 12235133, 10068673, 12769846, 9742969, 10802735
P60953	P19878	mint, Biogrid, Hprd	1	1	3	7738010, 11090627, 9642115
P60953	P19525	mint, Hprd	1	1	1	7738010
Q13114	Q13546	mint, intact, Biogrid, Hprd	1	1	2	8612133, unassigned1304
Q13546	Q12933	mint, intact, Biogrid, Hprd	1	1	19	8612133, 25416956, unassigned1304, 8702708, 11479302, 9020361, 21282461, 16603398, 21810480, 19815541, 20577214, 11181075, 23007157, 23972990, 24434549, 24735611, 25716317, 25882049, 16291755
Q13546	Q13077	mint, intact, Biogrid, Hprd	1	1	4	8612133, 25416956, unassigned1304, 19287455
Q13546	Q15628	mint, Dip, Biogrid, Hprd	1	1	4	8612133, 16603398, 21724995, 24735611
P50591	O14763	mint, intact, Dip, Biogrid, Hprd	1	1	15	10894160, 10542098, 10549288, 19427028, 20103630, 20097879, 22266862, 21822306, 21525171, 21459798, 23678861, 9325248, 11094155, 9311998, 22585859
P50591	O00220	mint, intact, Biogrid, Hprd	1	1	6	10894160, 19427028, 20103630, 9082980, 10549288, 9325248
P04049	P01112	mint, intact, Dip, Biogrid, Hprd	1	1	40	8332187, 8332195, 12620389, 15688026, 8670882, 9144171, 18273062, 19063885, 19222999, 19696784, 22169110, 25684575, 18073111, 24929361, 9261098, 20133694, 20080631, 9154803, 14654780, 15031288, 14724584, 10783161, 10882715, 9523700, 10922060, 16803888, 7862125, 7969158, 10369681, 8628317, 8530446, 9150145, 12379659, 15664191, 26721396, 8911690, 8035810, 9099670, 7730360, 16301319
O43353	Q13077	mint, Biogrid, Hprd	2	2	1	9705938
P29466	O43353	mint, Biogrid, Hprd	2	2	1	9705938
O43353	Q12933	mint, intact, Biogrid, Hprd	2	2	2	9705938, 21903422
Q03135	Q12933	mint, Biogrid, Hprd	2	2	2	11112773, 11805080
P42768	P09769	mint, Biogrid, Hprd	1	1	4	7565724, 8805332, 8824280, 10358777
P42768	P16333	mint, Dip, Biogrid, Hprd	1	1	5	7565724, 10747096, 12135674, 24287595, 11340081
P06241	P42768	mint, Biogrid, Hprd	1	1	6	7565724, 14707117, 8805332, 10532312, 12431372, 10224664
P05067	Q9UQF2	mint, Biogrid, Hprd	1	1	6	11724784, 20205790, 12917434, 16301330, 11517249, 12893827
P29353	P13688	mint, Biogrid, Hprd	2	2	1	11694516
P27986	P22681	mint, intact, Dip, Biogrid, Hprd	1	1	51	8621719, 8662998, 15556646, 15581361, 7642581, 16219545, 16982329, 9890970, 19380743, 9160881, 25814554, 9178909, 9461587, 9918857, 18374639, 15107835, 11994282, 11087752, 21203488, 11944898, 9414268, 11418612, 10025673, 11042121, 8941725, 11030146, 7791764, 9890943, 8896416, 19861161, 8702998, 10620516, 16135792, 9259313, 9174058, 17237826, 9988765, 19190244, 9092538, 8612729, 16289966, 8695807, 8995243, 11157475, 10918571, 10358153, 9541596, 14530346, 24113870, 11133830, 9234717
P43405	P22681	mint, Biogrid, Hprd	1	1	16	8621719, 15556646, 18273061, 9857068, 11331248, 12435267, 15577829, 11742985, 10570266, 11042121, 15536084, 16289966, 10617633, 7721825, 11133830, 10540342
P43405	P06239	mint, Biogrid, Hprd	1	1	5	8621719, 15536084, 8798676, 7539035, 8798764
P29353	P22681	mint, intact, Biogrid, Hprd	2	2	11	8621719, 8662998, 15677445, 19380743, 10570290, 9461587, 9434624, 10025673, 9541596, 8950973, 9234717
P07948	P22681	mint, Dip, Biogrid, Hprd	1	1	8	8621719, 9160881, 12244174, 15190072, 18235045, 7782294, 7721825, 12149655
P06239	P22681	mint, Biogrid, Hprd	1	1	8	8621719, 7721825, 16107303, 11904433, 8900205, 8626543, 9178909, 11741956
P22681	P06241	mint, intact, Biogrid, Hprd	1	1	25	8621719, 15556646, 7642581, 17094785, 25814554, 12244174, 9535867, 15208330, 12941616, 9311917, 10629042, 10829062, 16503409, 15190072, 8900205, 7782294, 8626543, 12231245, 8995358, 8662998, 11994282, 11239464, 9890970, 10092522, 10799548
P27986	P29353	mint, intact, Biogrid, Hprd	1	1	8	8621719, 8662998, 16219545, 19380743, 7537361, 16135792, 9541596, 19889638
P51451	P22681	mint, Biogrid, Hprd	2	2	2	8621719, 8083187
